Name,Ratio,Time,Size,Parameters,Type
FPC,1.2646520902458767,77372100,2097152,-,C
FPC,1.2646520902458767,21733800,2097152,-,D
FPC,1.2619078564868822,77764300,2097152,-,C
FPC,1.2619078564868822,29237200,2097152,-,D
FPC,1.253830104290227,78623200,2097152,-,C
FPC,1.253830104290227,22556900,2097152,-,D
FPC,1016.9383620689655,18093000,2097152,-,C
FPC,1016.9383620689655,15415600,2097152,-,D
FPC,1.6009463326387046,67346700,2097152,-,C
FPC,1.6009463326387046,19278000,2097152,-,D
FPC,1.2577222367045535,78041600,2097152,-,C
FPC,1.2577222367045535,34104900,2097152,-,D
FPC,1.2594746319076209,87177300,2097152,-,C
FPC,1.2594746319076209,26730100,2097152,-,D
FPC,1.2551221315770573,90480000,2097152,-,C
FPC,1.2551221315770573,32285300,2097152,-,D
FPC,1.2553692337571467,99631700,2097152,-,C
FPC,1.2553692337571467,28958800,2097152,-,D
FPC,1.2574929737963778,96590400,2097152,-,C
FPC,1.2574929737963778,31372200,2097152,-,D
FPC,1.2569784422568633,99370500,2097152,-,C
FPC,1.2569784422568633,29317000,2097152,-,D
FPC,1.2553926133249615,94089500,2097152,-,C
FPC,1.2553926133249615,29142300,2097152,-,D
FPC,526.6428571428571,597500,32768,-,C
FPC,526.6428571428571,2023100,32768,-,D
FPC,526.6428571428571,361000,32768,-,C
FPC,526.6428571428571,301400,32768,-,D
FPC,526.6428571428571,361100,32768,-,C
FPC,526.6428571428571,312400,32768,-,D
FPC,526.6428571428571,651100,32768,-,C
FPC,526.6428571428571,365500,32768,-,D
FPC,526.6428571428571,429400,32768,-,C
FPC,526.6428571428571,321800,32768,-,D
FPC,526.6428571428571,383900,32768,-,C
FPC,526.6428571428571,300500,32768,-,D
FPC,526.6428571428571,2554400,32768,-,C
FPC,526.6428571428571,299000,32768,-,D
FPC,526.6428571428571,369100,32768,-,C
FPC,526.6428571428571,300900,32768,-,D
FPC,526.6428571428571,386000,32768,-,C
FPC,526.6428571428571,301300,32768,-,D
FPC,526.6428571428571,372000,32768,-,C
FPC,526.6428571428571,446300,32768,-,D
FPC,526.6428571428571,521300,32768,-,C
FPC,526.6428571428571,547300,32768,-,D
FPC,526.6428571428571,461900,32768,-,C
FPC,526.6428571428571,450100,32768,-,D
FPC,526.6428571428571,479300,32768,-,C
FPC,526.6428571428571,462800,32768,-,D
FPC,526.6428571428571,3519800,32768,-,C
FPC,526.6428571428571,404400,32768,-,D
FPC,526.6428571428571,419300,32768,-,C
FPC,526.6428571428571,302700,32768,-,D
FPC,526.6428571428571,385900,32768,-,C
FPC,526.6428571428571,311500,32768,-,D
FPC,526.6428571428571,493000,32768,-,C
FPC,526.6428571428571,319700,32768,-,D
FPC,526.6428571428571,634200,32768,-,C
FPC,526.6428571428571,372800,32768,-,D
FPC,526.6428571428571,436700,32768,-,C
FPC,526.6428571428571,370500,32768,-,D
FPC,526.6428571428571,1703100,32768,-,C
FPC,526.6428571428571,330200,32768,-,D
FPC,1.2794571894630895,1284400,32768,-,C
FPC,1.2794571894630895,572900,32768,-,D
FPC,1.2732264972024592,1188100,32768,-,C
FPC,1.2732264972024592,531900,32768,-,D
FPC,1.2647089093965487,1277400,32768,-,C
FPC,1.2647089093965487,748600,32768,-,D
FPC,1.2747674539230265,1324300,32768,-,C
FPC,1.2747674539230265,560400,32768,-,D
FPC,1.2692373902564986,1315700,32768,-,C
FPC,1.2692373902564986,549200,32768,-,D
FPC,1.2871408121224817,2475900,32768,-,C
FPC,1.2871408121224817,617200,32768,-,D
FPC,1.2779934826319073,1238500,32768,-,C
FPC,1.2779934826319073,536200,32768,-,D
FPC,1.3043093688083782,1867300,32768,-,C
FPC,1.3043093688083782,793300,32768,-,D
FPC,1.292511044106304,1221200,32768,-,C
FPC,1.292511044106304,542700,32768,-,D
FPC,1.2698494712548656,1240100,32768,-,C
FPC,1.2698494712548656,574100,32768,-,D
FPC,1.2704183610172997,3421600,32768,-,C
FPC,1.2704183610172997,853600,32768,-,D
FPC,1.261765410548653,1267400,32768,-,C
FPC,1.261765410548653,539700,32768,-,D
FPC,1.23467747337397,1299500,32768,-,C
FPC,1.23467747337397,664800,32768,-,D
FPC,1.2539115646258503,1385600,32768,-,C
FPC,1.2539115646258503,690900,32768,-,D
FPC,1.2934180057539821,1337600,32768,-,C
FPC,1.2934180057539821,680900,32768,-,D
FPC,1.2643619028020716,1368500,32768,-,C
FPC,1.2643619028020716,1945500,32768,-,D
FPC,1.28092425295344,1241200,32768,-,C
FPC,1.28092425295344,537700,32768,-,D
FPC,1.2706373005204563,1320200,32768,-,C
FPC,1.2706373005204563,567000,32768,-,D
FPC,1.2636251456776582,1335900,32768,-,C
FPC,1.2636251456776582,563100,32768,-,D
FPC,1.2702870335274457,1312600,32768,-,C
FPC,1.2702870335274457,667200,32768,-,D
FPC,1.2626729688998493,1422300,32768,-,C
FPC,1.2626729688998493,2384100,32768,-,D
FPC,1.2534852091125468,1625100,32768,-,C
FPC,1.2534852091125468,559600,32768,-,D
FPC,1.2521228177433599,1334300,32768,-,C
FPC,1.2521228177433599,563700,32768,-,D
FPC,1.2509756014795208,4899100,32768,-,C
FPC,1.2509756014795208,669700,32768,-,D
FPC,1.250211957811917,1338700,32768,-,C
FPC,1.250211957811917,676900,32768,-,D
FPC,1.253272140064593,2748300,32768,-,C
FPC,1.253272140064593,674900,32768,-,D
FPC,1.2575044344385318,1406100,32768,-,C
FPC,1.2575044344385318,637300,32768,-,D
FPC,1.2554488489306634,1315200,32768,-,C
FPC,1.2554488489306634,588600,32768,-,D
FPC,1.25301655280242,5208200,32768,-,C
FPC,1.25301655280242,676800,32768,-,D
FPC,1.2605142583601177,1958800,32768,-,C
FPC,1.2605142583601177,580700,32768,-,D
BitGrooming,7.090446510228335,412322300,8388608,NSD1,C
BitGrooming,7.090446510228335,72833900,8388608,NSD1,D
BitGrooming,4.243432337891944,496453800,8388608,NSD2,C
BitGrooming,4.243432337891944,59207700,8388608,NSD2,D
BitGrooming,3.4617165122391365,644266500,8388608,NSD3,C
BitGrooming,3.4617165122391365,49589700,8388608,NSD3,D
BitGrooming,2.6267657675937963,804862500,8388608,NSD4,C
BitGrooming,2.6267657675937963,61649100,8388608,NSD4,D
BitGrooming,2.306069818708436,839179800,8388608,NSD5,C
BitGrooming,2.306069818708436,62357300,8388608,NSD5,D
BitGrooming,2.0631751163895182,752462800,8388608,NSD6,C
BitGrooming,2.0631751163895182,58482500,8388608,NSD6,D
BitGrooming,1.794983184486204,768970300,8388608,NSD7,C
BitGrooming,1.794983184486204,51362500,8388608,NSD7,D
BitGrooming,1.65818748811501,711591200,8388608,NSD8,C
BitGrooming,1.65818748811501,67655800,8388608,NSD8,D
BitGrooming,1.520554639566938,888198200,8388608,NSD9,C
BitGrooming,1.520554639566938,77792700,8388608,NSD9,D
BitGrooming,1.3984577069723267,952870600,8388608,NSD10,C
BitGrooming,1.3984577069723267,65725000,8388608,NSD10,D
BitGrooming,1.2979825323524383,905264800,8388608,NSD11,C
BitGrooming,1.2979825323524383,66452300,8388608,NSD11,D
BitGrooming,1.231500461632395,921663800,8388608,NSD12,C
BitGrooming,1.231500461632395,64789200,8388608,NSD12,D
BitGrooming,1.1557657619427362,929124700,8388608,NSD13,C
BitGrooming,1.1557657619427362,76844500,8388608,NSD13,D
BitGrooming,1.099145197458365,699141600,8388608,NSD14,C
BitGrooming,1.099145197458365,70386300,8388608,NSD14,D
BitGrooming,1.0750877995221921,396982000,8388608,NSD15,C
BitGrooming,1.0750877995221921,69545900,8388608,NSD15,D
BitShaving,36.31746471555979,177967300,8388608,0,C
BitShaving,36.31746471555979,22961000,8388608,0,D
BitShaving,24.844534480103302,154374200,8388608,1,C
BitShaving,24.844534480103302,25828800,8388608,1,D
BitShaving,18.329785490627096,169188700,8388608,2,C
BitShaving,18.329785490627096,28992600,8388608,2,D
BitShaving,13.643540362467695,184728500,8388608,3,C
BitShaving,13.643540362467695,27842100,8388608,3,D
BitShaving,10.410014134652734,216816700,8388608,4,C
BitShaving,10.410014134652734,46273200,8388608,4,D
BitShaving,7.748790378451278,372818700,8388608,5,C
BitShaving,7.748790378451278,37059600,8388608,5,D
BitShaving,6.157124476025434,480940300,8388608,6,C
BitShaving,6.157124476025434,40579000,8388608,6,D
BitShaving,5.175019324717563,529243200,8388608,7,C
BitShaving,5.175019324717563,41335000,8388608,7,D
BitShaving,4.597212936150064,546658800,8388608,8,C
BitShaving,4.597212936150064,46607100,8388608,8,D
BitShaving,4.187150253791398,494621400,8388608,9,C
BitShaving,4.187150253791398,47675900,8388608,9,D
BitShaving,3.9147680313382747,468355400,8388608,10,C
BitShaving,3.9147680313382747,45618500,8388608,10,D
BitShaving,3.6866422959243317,529636100,8388608,11,C
BitShaving,3.6866422959243317,45961200,8388608,11,D
BitShaving,3.485866186182792,634232700,8388608,12,C
BitShaving,3.485866186182792,54587000,8388608,12,D
BitShaving,3.248526399721796,778318400,8388608,13,C
BitShaving,3.248526399721796,46827300,8388608,13,D
BitShaving,3.0480985465896873,855862500,8388608,14,C
BitShaving,3.0480985465896873,56780000,8388608,14,D
BitShaving,2.8096759996436242,910600000,8388608,15,C
BitShaving,2.8096759996436242,48734600,8388608,15,D
BitShaving,2.630989670318986,819484100,8388608,16,C
BitShaving,2.630989670318986,64422300,8388608,16,D
BitShaving,2.4989016711161844,761703100,8388608,17,C
BitShaving,2.4989016711161844,66582500,8388608,17,D
BitShaving,2.403006691722431,738631400,8388608,18,C
BitShaving,2.403006691722431,81096000,8388608,18,D
BitShaving,2.322955466898761,826784300,8388608,19,C
BitShaving,2.322955466898761,59325800,8388608,19,D
BitShaving,2.245775153910653,889195600,8388608,20,C
BitShaving,2.245775153910653,57971900,8388608,20,D
BitShaving,2.142867397337959,978731800,8388608,21,C
BitShaving,2.142867397337959,68494100,8388608,21,D
